Designator,Mid X,Mid Y,Layer,Rotation
C1,54.81,56.52,Top,270
C2,57.86,78.37,Top,180
C3,47.7,78.37,Top,180
C4,53.03,78.37,Top,180
C5,31.19,41.28,Top,0
C6,39.32,43.32,Top,0
C7,50.24,57.54,Top,180
C8,60.4,57.54,Top,180
C9,31.19,43.32,Top,0
C10,63.19,78.37,Top,180
C11,56.08,45.09,Top,270
C12,31.19,29.35,Top,0
C13,31.19,27.31,Top,0
C14,39.32,39.76,Top,180
C15,54.05,45.09,Top,270
C16,24.59,35.19,Top,180
C17,34.49,56.52,Top,270
C18,42.87,78.37,Top,180
C19,37.54,78.37,Top,180
C20,27.38,78.37,Top,180
C21,32.71,78.37,Top,180
C22,29.92,57.54,Top,180
C23,40.08,57.54,Top,180
C24,13.41,16.14,Top,270
C25,21.54,37.98,Top,180
C26,16.2,37.98,Top,180
C27,6.3,37.98,Top,180
C28,11.63,37.98,Top,180
C29,8.84,17.15,Top,180
C30,18.74,17.15,Top,180
C31,14.43,56.52,Top,270
C32,22.55,78.37,Top,180
C33,17.22,78.37,Top,180
C34,7.06,78.37,Top,180
C35,12.39,78.37,Top,180
C36,9.85,57.54,Top,180
C37,19.76,57.54,Top,180
C40,56.84,106.31,Top,90
C41,9.85,11.31,Top,180
C42,13.66,11.31,Top,0
C43,60.96,19.3,Top,0
C44,60.96,21.84,Top,0
C45,57.66,24.38,Top,0
CR1,60.4,94.37,Top,0
CR2,64.97,94.37,Top,0
D3,60.4,75.83,Top,0
D4,50.24,75.83,Top,0
D8,40.08,75.83,Top,0
D9,29.92,75.83,Top,0
D10,18.74,35.44,Top,0
D11,9.09,35.44,Top,0
D12,20.01,75.83,Top,0
D13,9.6,75.83,Top,0
F1,55.32,73.54,Top,90
F2,35,73.54,Top,90
F3,14.68,73.54,Top,90
F4,14.17,33.16,Top,90
GDT1,60.4,88.27,Top,180
GDT2,50.24,88.27,Top,180
GDT3,40.08,88.27,Top,180
GDT4,29.92,88.27,Top,180
GDT5,19.76,88.27,Top,180
GDT6,9.6,88.27,Top,180
GDT7,18.74,47.89,Top,180
GDT8,8.84,47.89,Top,180
L1,62.94,82.18,Top,90
L2,57.86,82.18,Top,90
L3,52.78,82.18,Top,90
L4,47.7,82.18,Top,90
L5,42.62,82.18,Top,90
L6,37.54,82.18,Top,90
L7,32.46,82.18,Top,90
L8,27.38,82.18,Top,90
L9,22.3,82.18,Top,90
L10,17.22,82.18,Top,90
L11,12.14,82.18,Top,90
L12,7.06,82.18,Top,90
L13,21.54,41.79,Top,90
L14,16.46,41.79,Top,90
L15,11.38,41.79,Top,90
L16,6.3,41.79,Top,90
R1,60.91,4.2,Top,0
R2,60.91,11.82,Top,0
R3,19,9.28,Top,270
R4,60.91,9.79,Top,0
R5,60.4,73.29,Top,0
R6,50.24,73.29,Top,0
R7,46.18,73.29,Top,0
R8,24.59,32.9,Top,180
R9,57.66,21.84,Top,0
R10,60.91,1.66,Top,0
R11,60.4,55.51,Top,0
R12,63.45,56.52,Top,90
R13,57.35,56.52,Top,90
R14,50.24,55.25,Top,0
R15,57.66,19.3,Top,0
R16,60.91,13.85,Top,0
R17,49.99,21.98,Top,180
R18,25.6,55.51,Top,0
R19,25.6,57.54,Top,180
R20,49.99,24.52,Top,180
R21,49.99,34.68,Top,180
R22,49.99,39.76,Top,180
R23,49.99,47.38,Top,180
R24,49.99,49.92,Top,180
R25,49.99,42.3,Top,180
R26,49.99,37.22,Top,180
R27,60.91,15.88,Top,180
R28,49.99,29.6,Top,0
R29,56.84,96.4,Top,270
R30,49.99,32.14,Top,0
R31,60.91,27.06,Top,180
R32,40.08,73.29,Top,0
R33,29.92,73.29,Top,0
R34,25.86,73.29,Top,0
R35,60.96,24.38,Top,0
R36,40.08,55.51,Top,0
R37,43.13,56.52,Top,90
R38,37.03,56.52,Top,90
R41,29.92,55.51,Top,0
R42,18.74,32.9,Top,0
R43,8.84,32.9,Top,0
R44,5.03,34.43,Top,270
R46,18.74,15.12,Top,0
R47,21.79,16.14,Top,90
R48,15.7,16.14,Top,90
R51,8.84,14.87,Top,0
R52,19.76,73.29,Top,0
R53,9.6,73.29,Top,0
R54,5.54,74.81,Top,270
R56,19.76,55.51,Top,0
R57,22.81,56.52,Top,90
R58,16.71,56.52,Top,90
R61,10.36,55.25,Top,0
U1,31.19,48.4,Top,0
U2,31.19,34.43,Top,0
U3,39.32,48.4,Top,0
U5,39.32,34.68,Top,180
J1,45.16,103.514,Top,0
J2,24.84,103.514,Top,0
J3,9.346,104.276,Top,180
JP1,39.064,12.074,Top,0
JP3,27.634,11.312,Top,0
JP4,46.43,25.79,Top,90
JP5,64.21,25.79,Top,90
SW1,55.32,6.466,Top,0
SW2,36.524,20.71,Top,0
