Qty;Value;Device;Package;Parts;Description;Assembled by JLCPCB;PARTNO;LCSC;SPICEPREFIX;VALUE
1;;PINHD-1X4;1X04;JP3;PIN HEADER;No;2057-PH1-04-UA-ND;C2691448;;
1;;PINHD-2X3/90;2X03/90;JP1;PIN HEADER;No;2057-PH2RA-06-UA-ND;C2935935;;
1;;SW_DIP-4;EDG-04;SW2;DIP SWITCH;No;2449-KG04E-ND;C962226;;
4;0;R-US_R0805;R0805;R7, R34, R44, R54;RESISTOR, American symbol;Yes;;;R;
5;0.1uF;0603_CAPACITOR;603;C6, C9, C12, C14, C41;0603 Capacitor -- WARNING: NO DEFINED VALUE OR PART NUMBER;Yes;;;;sel
15;10;0603_RESISTOR;603;R1, R2, R4, R10, R17, R20, R21, R22, R23, R24, R25, R26, R27, R28, R31;0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE;Yes;;;;sel
1;10;1206_RESISTOR;1206;R29;NO DEFINED PN;Yes;;;;sel
3;10k;0603_RESISTOR;603;R3, R9, R15;0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE;Yes;;;;sel
4;120;1206_RESISTOR;1206;R14, R41, R51, R61;NO DEFINED PN;Yes;;;;sel
4;1206_FUSE;1206_FUSE;1206;F1, F2, F3, F4;;Yes;;;;
1;1M;1206_RESISTOR;1206;R8;NO DEFINED PN;Yes;;;;sel
2;1k;0603_RESISTOR;603;R18, R19;0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE;Yes;;;;sel
24;1nF;0805_CAPACITOR;805;C2, C3, C4, C7, C8, C10, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C32, C33, C34, C35, C36, C37;NO DEFINED PN;Yes;;;;
1;1nF;1206_CAPACITOR;1206;C16;NO DEFINED PN;Yes;;;;sel
9;1uF;0805_CAPACITOR;805;C1, C5, C11, C13, C15, C17, C24, C31, C42;NO DEFINED PN;Yes;;;;
1;1uF;1206_CAPACITOR;1206;C40;NO DEFINED PN;Yes;;;;sel
16;33uH;SDR0403-330KL;SDR0403;L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16;33 µH Unshielded Drum Core, Wirewound Inductor 640 mA 540mOhm Max Nonstandard;Yes;SDR0403-330KLCT-ND;;;33uH
8;470;R-US_R0805;R0805;R5, R11, R32, R36, R42, R46, R52, R56;RESISTOR, American symbol;Yes;;;R;
8;49.9;R-US_R0805;R0805;R12, R13, R37, R38, R47, R48, R57, R58;RESISTOR, American symbol;Yes;;;R;
8;600V;2036-60-SM-RPLF;2036_GDT;GDT1, GDT2, GDT3, GDT4, GDT5, GDT6, GDT7, GDT8;Gas Discharge Tube 600 V 10000A (10kA) ±20% 3 Pole Surface Mount;Yes;2036-60-SM-RPLFCT-ND;;;600V
8;78602/9JC;78602/9JC;786;T1, T2, T3, T4, T5, T6, T7, T8;10mH General Purpose Pulse Transformer 1CT:1CT Surface Mount 56Vus;No;811-2418-ND;;;
1;8190;8190;7781;J3;4 Pin Screw Terminal, Power Tap 6-32 Through Hole, Right Angle;No;36-8190-ND;;;
2;A-2004-2-4-LPS-N-R;A-2004-2-4-LPS-N-R;A-2004-2-4-LPS-N-R;J1, J2;Jack Modular Connector 8p8c (RJ45, Ethernet) 90° Angle (Right) Shielded;No;AE10387-ND;;;
3;DNP;0603_RESISTOR;603;R16, R30, R35;0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE;No;;;;sel
2;DNP;1206_CAPACITOR;1206;C38, C39;NO DEFINED PN;No;;;;sel
4;DNP;R-US_R0805;R0805;R6, R33, R43, R53;RESISTOR, American symbol;No;;;R;
2;ES1JFL;ES1JFL;SOD123(AK);CR1, CR2;Diode Standard 600 V 1A Surface Mount SOD-123F;Yes;ES1JFLCT-ND;;;
1;EVQ-PF008K;EVQ-PF008K;EVQ-PF008K;SW1;Tactile Switch SPST-NO Side Actuated Through Hole, Right Angle;No;P10880S-ND;;;
1;PJ-002A;PJ-002A;PJ-002A;J4;"Power Barrel Connector Jack 2.10mm ID (0.083""), 5.50mm OD (0.217"") Through Hole, Right Angle";No;CP-002A-ND;;;
4;ISL83490IBZ-T;ISL83490IBZ-T;SOIC8;U1, U2, U3, U5;1/1 Transceiver Full RS422, RS485 8-SOIC 3.3V;Yes;ISL83490IBZ-TCT-ND;;;
1;MEM2080-00-128-00-A;MEM2080-00-128-00-A;MEM2080;J5;9 (8 + 1) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold;No;2073-MEM2080-00-128-00-ACT-ND;;;
1;RASPBERRY_PICOTH;RASPBERRY_PICOTH;PICO-PKG-TH;U7;Raspberry Pi Pico;No;2648-SC0917-ND;;;
8;SMAJ5.0CA/TR7;SMAJ5.0CA/TR7;DO-214AC_NO_POL;D3, D4, D8, D9, D10, D11, D12, D13;9.2V Clamp 43.5A Ipp Tvs Diode Surface Mount DO-214AC (SMA);Yes;;;;
