Comment,Designator,Footprint,LCSC Part #
0,R7 R34 R44 R54,R0805,
0.1uF,C6 C9 C12 C14 C41,603,
1M,R8,1206,C17927
1k,R18 R19,603,
1nF,C2 C3 C4 C7 C8 C10,805,
1nF,C16,1206,C9196
1nF,C18 C19 C20 C21 C22 C23 C25 C26 C27 C28 C29 C30 C32 C33 C34 C35 C36 C37,805,
1uF,C1 C5 C11 C13 C15 C17 C24 C31,805,
1uF,C40,1206,
1uF,C42,805,
10,R1 R2 R4 R10 R17 R20 R21 R22 R23 R24 R25 R26 R27 R28,603,
10,R29,1206,
10,R31,603,
10k,R3 R9 R15,603,
33uH,L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16,SDR0403,C341014
49.9,R12 R13 R37 R38 R47 R48 R57 R58,R0805,
120,R14 R41 R51 R61,1206,
470,R5 R11 R32 R36 R42 R46 R52 R56,R0805,
600V,GDT1 GDT2 GDT3 GDT4 GDT5 GDT6 GDT7 GDT8,2036_GDT,C111105
1206_FUSE,F1 F2 F3 F4,1206,C135333
DNP,R6,R0805,
DNP,R16 R30,603,
DNP,R33,R0805,
DNP,R35,603,
DNP,R43 R53,R0805,
ES1JFL,CR1 CR2,SOD123(AK),C64898
ISL83490IBZ-T,U1 U2 U3 U5,SOIC8,C2932177
SMAJ5.0CA/TR7,D3 D4 D8 D9 D10 D11 D12 D13,DO-214AC_NO_POL,C78402
